"Subject_ID","Exp_id","Age","Gender","Handedness","Ethnicity","Employment_Status","Country","First_Language","Education"
1,"Ps5E1","/","/","/","/","/","/","/","/"
2,"Ps5E1","/","/","/","/","/","/","/","/"
3,"Ps5E1","/","/","/","/","/","/","/","/"
4,"Ps5E1","/","/","/","/","/","/","/","/"
5,"Ps5E1","/","/","/","/","/","/","/","/"
6,"Ps5E1","/","/","/","/","/","/","/","/"
7,"Ps5E1","/","/","/","/","/","/","/","/"
8,"Ps5E1","/","/","/","/","/","/","/","/"
9,"Ps5E1","/","/","/","/","/","/","/","/"
10,"Ps5E1","/","/","/","/","/","/","/","/"
11,"Ps5E1","/","/","/","/","/","/","/","/"
12,"Ps5E1","/","/","/","/","/","/","/","/"
13,"Ps5E1","/","/","/","/","/","/","/","/"
14,"Ps5E1","/","/","/","/","/","/","/","/"
15,"Ps5E1","/","/","/","/","/","/","/","/"
16,"Ps5E1","/","/","/","/","/","/","/","/"
17,"Ps5E1","/","/","/","/","/","/","/","/"
18,"Ps5E1","/","/","/","/","/","/","/","/"
19,"Ps5E1","/","/","/","/","/","/","/","/"
20,"Ps5E1","/","/","/","/","/","/","/","/"
21,"Ps5E1","/","/","/","/","/","/","/","/"
22,"Ps5E1","/","/","/","/","/","/","/","/"
23,"Ps5E1","/","/","/","/","/","/","/","/"
24,"Ps5E1","/","/","/","/","/","/","/","/"
